actual    	predict   	match?    
Other     	Other     	         1
LeftTroll 	Other     	         0
RightTroll	Other     	         1
RightTroll	Other     	         0
Other     	LeftTroll 	         0
LeftTroll 	RightTroll	         1
Other     	LeftTroll 	         0
RightTroll	Other     	         0
RightTroll	RightTroll	         0
RightTroll	Other     	         1
RightTroll	Other     	         1
LeftTroll 	RightTroll	         0
RightTroll	LeftTroll 	         0
RightTroll	LeftTroll 	         1
Other     	RightTroll	         1
Other     	Other     	         0
LeftTroll 	Other     	         1
LeftTroll 	RightTroll	         0
Other     	Other     	         1
Other     	Other     	         1
Other     	Other     	         1
Other     	RightTroll	         1
LeftTroll 	LeftTroll 	         0
RightTroll	Other     	         0
RightTroll	LeftTroll 	         0
Other     	Other     	         1
RightTroll	Other     	         1
RightTroll	Other     	         1
LeftTroll 	LeftTroll 	         1
Other     	RightTroll	         0
Other     	Other     	         0
RightTroll	Other     	         0
LeftTroll 	Other     	         0
LeftTroll 	RightTroll	         1
LeftTroll 	LeftTroll 	         0
LeftTroll 	LeftTroll 	         0
Other     	LeftTroll 	         1
Other     	RightTroll	         0
RightTroll	Other     	         0
LeftTroll 	LeftTroll 	         1
Other     	LeftTroll 	         1
LeftTroll 	Other     	         1
RightTroll	Other     	         0
Other     	Other     	         1
RightTroll	Other     	         1
RightTroll	LeftTroll 	         0
RightTroll	Other     	         0
LeftTroll 	LeftTroll 	         0
Other     	Other     	         0
RightTroll	Other     	         0
Other     	LeftTroll 	         0
LeftTroll 	RightTroll	         0
Other     	LeftTroll 	         0
RightTroll	RightTroll	         0
Other     	Other     	         1
Other     	RightTroll	         0
LeftTroll 	LeftTroll 	         0
RightTroll	Other     	         0
Other     	Other     	         1
RightTroll	LeftTroll 	         0
LeftTroll 	Other     	         1
LeftTroll 	Other     	         0
RightTroll	Other     	         0
Other     	Other     	         0
Other     	RightTroll	         1
LeftTroll 	Other     	         0
RightTroll	Other     	         1
LeftTroll 	RightTroll	         0
LeftTroll 	Other     	         1
RightTroll	Other     	         0
Other     	Other     	         1
LeftTroll 	Other     	         0
RightTroll	RightTroll	         0
RightTroll	Other     	         0
Other     	Other     	         0
RightTroll	Other     	         1
RightTroll	Other     	         0
LeftTroll 	LeftTroll 	         0
RightTroll	Other     	         0
LeftTroll 	RightTroll	         1
RightTroll	Other     	         1
LeftTroll 	LeftTroll 	         0
RightTroll	Other     	         1
Other     	RightTroll	         1
Other     	LeftTroll 	         0
Other     	Other     	         1
Other     	LeftTroll 	         1
LeftTroll 	LeftTroll 	         0
RightTroll	Other     	         0
LeftTroll 	Other     	         1
RightTroll	Other     	         0
RightTroll	LeftTroll 	         0
Other     	RightTroll	         0
RightTroll	RightTroll	         1
LeftTroll 	Other     	         0
LeftTroll 	RightTroll	         0
Other     	RightTroll	         1
Other     	LeftTroll 	         1
RightTroll	RightTroll	         0
Other     	RightTroll	         0
RightTroll	Other     	         1
LeftTroll 	Other     	         1
RightTroll	Other     	         0
Other     	Other     	         0
RightTroll	LeftTroll 	         0
LeftTroll 	Other     	         0
LeftTroll 	Other     	         1
Other     	Other     	         0
Other     	LeftTroll 	         0
LeftTroll 	Other     	         1
Other     	RightTroll	         1
RightTroll	RightTroll	         1
LeftTroll 	RightTroll	         0
LeftTroll 	LeftTroll 	         0
RightTroll	Other     	         0
Other     	Other     	         0
Other     	LeftTroll 	         1
RightTroll	Other     	         1
Other     	RightTroll	         0
RightTroll	RightTroll	         0
LeftTroll 	Other     	         0
LeftTroll 	Other     	         0
RightTroll	RightTroll	         0
RightTroll	Other     	         0
RightTroll	LeftTroll 	         0
LeftTroll 	LeftTroll 	         1
RightTroll	Other     	         0
RightTroll	Other     	         1
Other     	Other     	         1
Other     	RightTroll	         0
Other     	Other     	         0
LeftTroll 	Other     	         1
RightTroll	RightTroll	         1
RightTroll	Other     	         1
Other     	LeftTroll 	         1
RightTroll	RightTroll	         0
LeftTroll 	Other     	         1
Other     	RightTroll	         1
RightTroll	Other     	         1
RightTroll	RightTroll	         1
LeftTroll 	RightTroll	         0
Other     	RightTroll	         1
Other     	LeftTroll 	         1
Other     	Other     	         0
RightTroll	LeftTroll 	         0
Other     	LeftTroll 	         1
RightTroll	LeftTroll 	         1
Other     	RightTroll	         0
Other     	Other     	         0
LeftTroll 	LeftTroll 	         0
RightTroll	Other     	         1
Other     	Other     	         0
Other     	Other     	         1
Other     	Other     	         0
Other     	LeftTroll 	         0
LeftTroll 	RightTroll	         0
LeftTroll 	Other     	         0
Other     	RightTroll	         0
Other     	Other     	         0
LeftTroll 	RightTroll	         0
RightTroll	Other     	         0
Other     	Other     	         1
RightTroll	Other     	         0
Other     	Other     	         1
Other     	LeftTroll 	         0
LeftTroll 	Other     	         0
LeftTroll 	Other     	         1
RightTroll	Other     	         1
Other     	Other     	         1
Other     	Other     	         0
Other     	Other     	         0
Other     	RightTroll	         1
LeftTroll 	Other     	         0
LeftTroll 	Other     	         1
Other     	Other     	         1
LeftTroll 	RightTroll	         0
RightTroll	Other     	         0
Other     	RightTroll	         1
LeftTroll 	Other     	         1
Other     	Other     	         1
RightTroll	Other     	         1
LeftTroll 	RightTroll	         0
LeftTroll 	Other     	         1
Other     	RightTroll	         0
LeftTroll 	LeftTroll 	         0
LeftTroll 	Other     	         0
RightTroll	RightTroll	         0
RightTroll	Other     	         0
Other     	Other     	         0
RightTroll	LeftTroll 	         0
RightTroll	Other     	         0
Other     	Other     	         0
LeftTroll 	Other     	         0
LeftTroll 	Other     	         1
Other     	Other     	         1
LeftTroll 	RightTroll	         1
LeftTroll 	RightTroll	         1
RightTroll	Other     	         0
LeftTroll 	Other     	         0
Other     	Other     	         0
Other     	Other     	         1
RightTroll	Other     	         0
Other     	Other     	         1
Other     	Other     	         1
LeftTroll 	RightTroll	         1
LeftTroll 	LeftTroll 	         1
Other     	Other     	         0
RightTroll	RightTroll	         0
RightTroll	RightTroll	         0
LeftTroll 	Other     	         1
Other     	Other     	         1
Other     	RightTroll	         1
RightTroll	Other     	         0
Other     	Other     	         1
Other     	RightTroll	         0
RightTroll	Other     	         0
Other     	Other     	         1
RightTroll	Other     	         1
LeftTroll 	RightTroll	         0
LeftTroll 	LeftTroll 	         0
LeftTroll 	Other     	         1
Other     	RightTroll	         0
Other     	Other     	         1
Other     	LeftTroll 	         0
RightTroll	RightTroll	         0
Other     	LeftTroll 	         0
RightTroll	Other     	         1
Other     	RightTroll	         0
Other     	Other     	         0
RightTroll	Other     	         0
Other     	Other     	         1
RightTroll	Other     	         0
Other     	LeftTroll 	         0
RightTroll	LeftTroll 	         1
Other     	Other     	         0
RightTroll	Other     	         1
LeftTroll 	Other     	         0
Other     	RightTroll	         0
LeftTroll 	LeftTroll 	         1
RightTroll	Other     	         1
Other     	Other     	         0
Other     	Other     	         1
RightTroll	Other     	         1
LeftTroll 	Other     	         0
LeftTroll 	RightTroll	         1
Other     	Other     	         0
LeftTroll 	LeftTroll 	         1
Other     	Other     	         0
RightTroll	RightTroll	         0
Other     	Other     	         1
LeftTroll 	RightTroll	         1
Other     	LeftTroll 	         1
Other     	RightTroll	         1
Other     	Other     	         0
Other     	RightTroll	         0
Other     	LeftTroll 	         0
Other     	Other     	         0
Other     	Other     	         1
Other     	RightTroll	         0
LeftTroll 	LeftTroll 	         1
RightTroll	RightTroll	         1
RightTroll	Other     	         0
Other     	Other     	         0
Other     	LeftTroll 	         0
LeftTroll 	Other     	         0
RightTroll	RightTroll	         0
LeftTroll 	RightTroll	         1
Other     	Other     	         0
RightTroll	Other     	         0
LeftTroll 	Other     	         0
LeftTroll 	Other     	         0
LeftTroll 	Other     	         1
LeftTroll 	Other     	         1
RightTroll	LeftTroll 	         1
Other     	LeftTroll 	         0
Other     	Other     	         0
Other     	RightTroll	         1
RightTroll	LeftTroll 	         1
Other     	RightTroll	         0
LeftTroll 	LeftTroll 	         1
RightTroll	Other     	         0
LeftTroll 	RightTroll	         0
RightTroll	RightTroll	         0
LeftTroll 	RightTroll	         0
Other     	RightTroll	         1
LeftTroll 	Other     	         0
Other     	LeftTroll 	         0
Other     	Other     	         1
RightTroll	Other     	         0
RightTroll	RightTroll	         1
RightTroll	Other     	         1
LeftTroll 	Other     	         0
Other     	RightTroll	         1
RightTroll	Other     	         0
RightTroll	Other     	         0
Other     	Other     	         1
RightTroll	Other     	         1
LeftTroll 	RightTroll	         0
LeftTroll 	Other     	         1
LeftTroll 	Other     	         1
LeftTroll 	Other     	         0
RightTroll	LeftTroll 	         1
LeftTroll 	Other     	         1
LeftTroll 	LeftTroll 	         1
LeftTroll 	RightTroll	         1
Other     	Other     	         1
LeftTroll 	LeftTroll 	         0
LeftTroll 	LeftTroll 	         0
LeftTroll 	Other     	         1
RightTroll	RightTroll	         1
RightTroll	Other     	         1
Other     	LeftTroll 	         0
LeftTroll 	RightTroll	         1
Other     	Other     	         0
LeftTroll 	RightTroll	         0
RightTroll	Other     	         0
Other     	RightTroll	         1
RightTroll	Other     	         1
Other     	LeftTroll 	         1
Other     	LeftTroll 	         1
RightTroll	Other     	         0
Other     	RightTroll	         0
RightTroll	LeftTroll 	         0
LeftTroll 	LeftTroll 	         1
LeftTroll 	Other     	         1
LeftTroll 	Other     	         1
LeftTroll 	Other     	         0
LeftTroll 	RightTroll	         1
Other     	Other     	         1
RightTroll	RightTroll	         1
RightTroll	RightTroll	         1
LeftTroll 	Other     	         0
Other     	RightTroll	         0
RightTroll	Other     	         1
Other     	RightTroll	         0
LeftTroll 	LeftTroll 	         1
LeftTroll 	RightTroll	         0
Other     	RightTroll	         0
RightTroll	Other     	         0
RightTroll	Other     	         0
LeftTroll 	Other     	         1
Other     	Other     	         0
RightTroll	Other     	         0
RightTroll	Other     	         1
RightTroll	LeftTroll 	         1
RightTroll	Other     	         1
Other     	Other     	         0
Other     	LeftTroll 	         1
Other     	RightTroll	         0
LeftTroll 	LeftTroll 	         1
RightTroll	LeftTroll 	         1
Other     	Other     	         1
LeftTroll 	Other     	         1
RightTroll	Other     	         1
RightTroll	LeftTroll 	         0
LeftTroll 	Other     	         1
RightTroll	RightTroll	         0
Other     	Other     	         1
Other     	LeftTroll 	         0
LeftTroll 	Other     	         1
Other     	RightTroll	         1
Other     	LeftTroll 	         0
Other     	RightTroll	         0
Other     	Other     	         0
LeftTroll 	RightTroll	         1
Other     	Other     	         1
LeftTroll 	Other     	         0
